proceso,t
hawkes,945.185802815468
hawkes,945.730585207623
hawkes,947.173901839571
hawkes,948.201516535676
hawkes,949.049057495175
hawkes,950.319446033821
hawkes,950.444637649208
hawkes,950.682019170875
hawkes,951.227523665292
hawkes,951.439484777121
hawkes,952.267462531693
hawkes,954.388438845084
hawkes,954.39911117605
hawkes,955.605261742427
hawkes,956.581018625343
hawkes,956.763276858113
hawkes,957.519188285721
hawkes,959.856514102061
hawkes,960.084776001635
hawkes,960.416379037337
hawkes,960.76319650108
hawkes,961.344684825866
hawkes,961.539729542008
hawkes,962.097485765461
hawkes,962.223751383803
hawkes,962.362813791276
hawkes,962.694750983891
hawkes,962.843182921189
hawkes,966.790075290396
hawkes,970.372482323633
hawkes,970.568354808579
hawkes,971.938766465496
hawkes,972.78950860548
hawkes,976.150771503964
hawkes,976.396759208786
hawkes,976.892748808458
hawkes,978.232293525693
hawkes,978.620749630476
hawkes,978.785529585847
hawkes,979.038979215222
hawkes,979.395711270107
hawkes,979.487760555735
hawkes,982.184776268029
hawkes,986.432362462504
hawkes,989.077021390657
hawkes,991.435138137832
hawkes,992.364398379456
hawkes,992.807434762081
hawkes,993.059035661754
hawkes,993.170076435569
hawkes,993.213911851163
hawkes,994.104321447345
hawkes,995.874278575808
hawkes,999.308121169677
hawkes,999.696329963388
hawkes,1002.68145601302
hawkes,1005.93862775608
hawkes,1013.64066195022
hawkes,1013.99488781416
hawkes,1014.09742328364
hawkes,1014.1531990187
hawkes,1014.17914690885
hawkes,1014.30745838476
hawkes,1014.66246399021
hawkes,1014.68791463492
hawkes,1014.69016638855
hawkes,1015.01963155964
hawkes,1016.38410477507
hawkes,1016.39323720494
hawkes,1016.47687488444
hawkes,1017.19639682357
hawkes,1017.75465680619
hawkes,1018.24328438501
hawkes,1019.31905678347
hawkes,1023.69853577876
hawkes,1024.26494577579
hawkes,1026.1047034592
hawkes,1027.9339929038
hawkes,1029.26398215004
hawkes,1030.72238374189
hawkes,1031.12989468216
hawkes,1032.5201173014
hawkes,1037.85948364218
hawkes,1044.21055574219
hawkes,1044.76346315742
hawkes,1048.38801435086
hawkes,1049.13241567793
hawkes,1049.4860593149
hawkes,1049.90684584908
hawkes,1050.42285953047
hawkes,1052.44758607745
hawkes,1052.98133000284
hawkes,1055.71844954386
hawkes,1057.03744209686
hawkes,1057.652132973
hawkes,1061.65592312931
hawkes,1061.81816444395
hawkes,1062.53363611147
hawkes,1064.22852516364
hawkes,1064.28771174151
hawkes,1066.39458247151
hawkes,1067.30804554797
hawkes,1067.73737687831
hawkes,1067.90047104154
hawkes,1068.55136777212
hawkes,1070.43351771212
hawkes,1070.59993965859
hawkes,1073.13203209614
hawkes,1074.8641348388
hawkes,1075.78680917353
hawkes,1077.35459255441
hawkes,1079.54654895553
hawkes,1081.87594084385
hawkes,1083.47722170487
hawkes,1083.64651699177
hawkes,1084.9048562523
hawkes,1090.74319663891
hawkes,1090.93956579043
hawkes,1090.95145846988
hawkes,1091.11783783981
hawkes,1091.57800717946
hawkes,1091.79559321828
hawkes,1091.80957421738
hawkes,1093.10145971822
hawkes,1093.10787310087
hawkes,1093.32096944843
hawkes,1093.37038565874
hawkes,1093.48522481829
hawkes,1093.63700996099
hawkes,1094.56660922405
hawkes,1094.57846280957
hawkes,1094.62640191718
hawkes,1095.43247007312
hawkes,1097.80579967467
hawkes,1097.90299782583
hawkes,1119.38982785389
hawkes,1119.51522128831
hawkes,1122.82347161265
hawkes,1125.32374909005
hawkes,1125.35835392215
hawkes,1125.89412707235
hawkes,1127.00479046227
hawkes,1129.91805732496
hawkes,1130.97930343858
hawkes,1131.03758675665
hawkes,1131.17985772498
hawkes,1131.26931026035
hawkes,1131.45995382412
hawkes,1131.53368076753
hawkes,1131.63282322226
hawkes,1132.73733848733
hawkes,1134.67362860543
hawkes,1142.76745708491
hawkes,1145.68885568779
hawkes,1148.24461536793
hawkes,1149.09059541736
hawkes,1149.19190747382
hawkes,1150.66918506483
hawkes,1150.75989064889
hawkes,1151.04833938086
hawkes,1151.09279081542
hawkes,1151.21305343912
hawkes,1151.27894608959
hawkes,1151.80377695024
hawkes,1151.84168289309
hawkes,1151.85766136427
hawkes,1151.95238569743
hawkes,1151.95395046683
hawkes,1152.77999134895
