"dane_sede","localidad","estrato","lon","lat","x_9377","y_9377"
"311001109346","Engativa",3,-74.0993825899,4.7060541648,4878117.27778534,2078109.43916325
"311001109494","Engativa",3,-74.1150553098,4.705270945,4876379.37180223,2078025.63788486
"311001109621","Engativa",3,-74.10961001,4.6868448679,4876979.91115218,2075988.33976123
"311001109826","Engativa",2,-74.13082312,4.7101247606,4874631.91835435,2078564.86685342
"311001109966","Engativa",3,-74.0899200196,4.6835733751,4879162.6003847,2075623.37242538
"311001401418","Engativa",2,-74.1310768204,4.7095236656,4874603.6806781,2078498.48263085
"311001801119","Engativa",NA,-74.1102555304,4.704646443,4876911.45602785,2077955.77385124
"311001801232","Engativa",NA,-74.1155100496,4.7161788959,4876330.87846011,2079231.2007913
"311001801411","Engativa",NA,-74.1142465799,4.716939641,4876471.10287869,2079315.04967075
"311265000041","Engativa",3,-74.1039499104,4.6929240762,4877608.57014475,2076659.18428759
"311265000369","Engativa",3,-74.0943945002,4.6837624398,4878666.49584939,2075645.03888028
"311265000385","Engativa",3,-74.1006760803,4.6999947907,4877972.80296342,2077440.02229577
"311265000504","Engativa",3,-74.1012810804,4.7082342868,4877907.15655314,2078350.70392543
"311265000954","Engativa",3,-74.0998824197,4.6979859786,4878060.4542657,2077217.88298007
"311265001110","Engativa",3,-74.1260254201,4.716247806,4875164.97373983,2079240.69176042
"311265001152","Engativa",3,-74.1157226296,4.7177352972,4876307.58365143,2079403.24286028
"311265001179","Engativa",3,-74.11611578,4.7168315923,4876263.8323086,2079303.4405217
"311265001241","Engativa",3,-74.12692737,4.7163010963,4875064.97721836,2079246.74279401
"311265001322","Engativa",3,-74.11626409,4.7047441924,4876245.25048468,2077967.63839419
"311848003323","Engativa",3,-74.1128591598,4.7077505853,4876623.31524144,2078299.28441409
"411001000691","Engativa",3,-74.0902641498,4.6773235246,4879123.37016115,2074932.74149311
"111001002330","Suba",NA,-74.1086103899,4.7422177849,4877100.48374526,2082107.63900915
"111001044288","Suba",2,-74.1066028897,4.7399029569,4877322.65242631,2081851.46265644
"111769000352","Suba",3,-74.07411344,4.6959554909,4880917.34946779,2076989.04835794
"111001015776","Suba",4,-74.0775636597,4.6871942542,4880533.30314683,2076021.40901004
"111001025020","Suba",2,-74.1024798597,4.7434850257,4877780.41499148,2082246.60208361
"111001045225","Suba",2,-74.1104695001,4.7462129722,4876895.0667595,2082549.49323957
"111001110094","Suba",2,-74.10484287,4.7422368132,4877518.2023501,2082109.07476348
"111001110337","Suba",2,-74.0992175397,4.7431327877,4878142.05420973,2082207.10024048
"111001075272","Suba",2,-74.0993622502,4.7285150466,4878123.45036979,2080591.6667906
"111001104141","Suba",2,-74.1011922703,4.7346830959,4877921.62828876,2081273.64158313
"111001075515","Suba",3,-74.0643899702,4.7166885581,4881998.96811899,2079278.65836059
"111769000280","Suba",3,-74.0697805303,4.7193264807,4881401.73560957,2079571.09707804
"111001086665","Suba",2,-74.0922989004,4.7257417954,4878906.11431418,2080283.95078242
"111769003106","Suba",2,-74.0867267801,4.7275715032,4879524.23772029,2080485.18945959
"111001104566","Suba",2,-74.0868276896,4.7270251004,4879512.955031,2080424.82228846
"111001092983","Suba",3,-74.0544444199,4.7498258462,4883107.24370504,2082939.04804689
"111769003114","Suba",3,-74.0550129304,4.7487635983,4883044.03416028,2082821.75297002
"111769003777","Suba",3,-74.0482533396,4.7500266598,4883793.67942112,2082960.197249
"111001093084","Suba",2,-74.0969882796,4.7303279628,4878386.97974012,2080791.60253425
"211769000217","Suba",3,-74.09339891,4.7351544251,4878785.7881969,2081324.3636582
"111001110345","Suba",2,-74.0976327301,4.7338753634,4878316.14641051,2081183.75107056
"111001110426","Suba",2,-74.09649707,4.7326709177,4878441.85103094,2081050.44460882
"111001094889","Suba",NA,-74.1134289998,4.7435620699,4876566.46924278,2082257.05805771
